name,company,year,Price,kms_driven,fuel_type
BMW 5 Series 520d Sport Line,BMW,2018,4000000,10000,Diesel
BMW 5 Series 520d Sport Line,BMW,2018,4000000,10000,Diesel
BMW 5 Series 520d Sport Line,BMW,2009,975000,80000,Diesel
BMW 5 Series 523i,BMW,2010,975000,72200,Petrol
BMW 5 Series 525d,BMW,2010,1000000,60000,Diesel
BMW 5 Series 530d,BMW,2013,2000000,60000,Diesel
BMW 6 Series GT 630d Luxury Line,BMW,2018,6000000,28156,Diesel
BMW 6 Series GT 630d Luxury Line,BMW,2018,6000000,28156,Diesel
BMW 6 Series GT 630d Luxury Line,BMW,2018,5500000,22000,Diesel
BMW 6 Series GT 630d Luxury Line,BMW,2018,6000000,27000,Diesel
BMW 6 Series GT 630d Luxury Line,BMW,2018,5830000,30000,Diesel
BMW 6 Series GT 630d Luxury Line,BMW,2018,5830000,30000,Diesel
BMW 7 Series 730Ld,BMW,2007,750000,60000,Diesel
BMW 7 Series 730Ld,BMW,2010,2000000,90000,Diesel
BMW X1 sDrive 20d Sportline,BMW,2018,2850000,27000,Diesel
BMW X1 sDrive 20D xLine,BMW,2017,2150000,27000,Diesel
BMW X1 sDrive20d,BMW,2011,1000000,50000,Diesel
BMW X1 sDrive20d M Sport,BMW,2011,1075000,42545,Diesel
BMW X1 sDrive20d M Sport,BMW,2018,3350000,18000,Diesel
BMW X1 sDrive20d M Sport,BMW,2011,1075000,42545,Diesel
BMW X1 sDrive20d M Sport,BMW,2012,925000,96000,Diesel
BMW X1 sDrive20d M Sport,BMW,2011,1075000,42545,Diesel
BMW X1 sDrive20d M Sport,BMW,2018,3350000,18000,Diesel
BMW X1 sDrive20i xLine,BMW,2016,2500000,30000,Petrol
BMW X1 sDrive20i xLine,BMW,2016,2500000,30000,Petrol
BMW X3 xDrive20d,BMW,2012,1800000,50000,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5800000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5800000,21000,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
BMW X5 3.0d,BMW,2008,830000,60000,Diesel
BMW X6 xDrive30d,BMW,2013,3750000,56000,Diesel
BMW X6 xDrive30d,BMW,2013,3750000,56000,Diesel
BMW X7 xDrive 30d DPE,BMW,2020,7200000,5000,Diesel
Chevrolet Aveo 1.4 LS,Chevrolet,2011,130000,60000,Petrol
Chevrolet Aveo U-VA 1.2,Chevrolet,2007,65000,30000,Petrol
Chevrolet Aveo U-VA 1.2,Chevrolet,2010,148000,70000,Petrol
Chevrolet Aveo U-VA 1.2 LS,Chevrolet,2008,80000,70000,Petrol
Chevrolet Aveo U-VA 1.2 LS,Chevrolet,2010,125000,60000,Petrol
Chevrolet Aveo U-VA 1.2 LS,Chevrolet,2008,150000,60000,Petrol
Chevrolet Aveo U-VA 1.2 LS,Chevrolet,2007,102000,50000,Petrol
Chevrolet Aveo U-VA 1.2 LT,Chevrolet,2007,100000,60000,Petrol
Chevrolet Beat Diesel,Chevrolet,2012,120000,60000,Diesel
Chevrolet Beat Diesel,Chevrolet,2013,200000,60000,Diesel
Chevrolet Beat Diesel,Chevrolet,2013,175000,56315,Diesel
Chevrolet Beat Diesel,Chevrolet,2012,135000,49000,Diesel
Chevrolet Beat Diesel,Chevrolet,2013,125000,139000,Diesel
Chevrolet Beat Diesel,Chevrolet,2011,165000,70000,Diesel
Chevrolet Beat Diesel LS,Chevrolet,2016,375000,53319,Diesel
Chevrolet Beat Diesel LS,Chevrolet,2012,140000,75000,Diesel
Chevrolet Beat Diesel LS,Chevrolet,2013,175000,68000,Diesel
Chevrolet Beat Diesel LS,Chevrolet,2013,170000,70000,Diesel
Chevrolet Beat Diesel LS,Chevrolet,2013,210000,96272,Diesel
Chevrolet Beat Diesel LS,Chevrolet,2014,190000,74321,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2013,300000,50000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2012,220000,70000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2012,200000,70000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2012,150000,110000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2015,240000,55000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2012,170000,90000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2014,185000,90000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2012,175000,56365,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2012,155000,98000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2014,160000,70000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2013,175000,76000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2015,200000,40000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2015,200000,40000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2014,220000,50000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2012,165000,70000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2012,180000,120000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2013,145000,90000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2012,225000,100000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2012,150000,70000,Diesel
Chevrolet Beat Diesel LT,Chevrolet,2011,221000,56000,Diesel
Chevrolet Beat Diesel LT Option,Chevrolet,2014,170000,76000,Diesel
Chevrolet Beat Diesel LT Option,Chevrolet,2011,140000,70000,Diesel
Chevrolet Beat Diesel LT Option,Chevrolet,2016,215000,60000,Diesel
Chevrolet Beat Diesel LT Option,Chevrolet,2011,140000,70000,Diesel
Chevrolet Beat LS,Chevrolet,2012,120000,60000,Petrol
Chevrolet Beat LS,Chevrolet,2013,170000,70000,Petrol
Chevrolet Beat LS,Chevrolet,2010,120000,40000,Petrol
Chevrolet Beat LS,Chevrolet,2016,300000,15000,Petrol
Chevrolet Beat LS,Chevrolet,2013,140000,110000,Petrol
Chevrolet Beat LS,Chevrolet,2011,125000,90000,Petrol
Chevrolet Beat LS,Chevrolet,2012,124000,40000,Petrol
Chevrolet Beat LS,Chevrolet,2013,200000,70000,Petrol
Chevrolet Beat LS,Chevrolet,2010,110000,60000,Petrol
Chevrolet Beat LT,Chevrolet,2015,200000,50000,Petrol
Chevrolet Beat LT,Chevrolet,2010,150000,68000,Petrol
Chevrolet Beat LT,Chevrolet,2010,140000,75000,Petrol
Chevrolet Beat LT,Chevrolet,2010,250000,63000,Petrol
Chevrolet Beat LT,Chevrolet,2015,250000,23500,Petrol
Chevrolet Beat LT,Chevrolet,2012,141000,128000,Petrol
Chevrolet Beat LT,Chevrolet,2016,210000,50000,Petrol
Chevrolet Beat LT,Chevrolet,2011,120000,90000,Petrol
Chevrolet Beat LT,Chevrolet,2011,120000,60000,Petrol
Chevrolet Beat LT,Chevrolet,2015,200000,50000,Petrol
Chevrolet Beat LT,Chevrolet,2012,180000,60000,Petrol
Chevrolet Beat LT,Chevrolet,2010,150000,70000,Petrol
Chevrolet Beat LT,Chevrolet,2010,140000,60000,Petrol
Chevrolet Beat LT,Chevrolet,2016,310000,30000,Petrol
Chevrolet Beat LT,Chevrolet,2017,350000,90000,Petrol
Chevrolet Beat LT,Chevrolet,2011,150000,100000,Petrol
Chevrolet Beat LT,Chevrolet,2012,145000,120000,Petrol
Chevrolet Beat LT,Chevrolet,2012,120000,70000,Petrol
Chevrolet Beat LT,Chevrolet,2014,240000,30000,Petrol
Chevrolet Captiva 2.2 LT,Chevrolet,2013,667000,65000,Diesel
Chevrolet Captiva 2.2 LTZ AWD,Chevrolet,2012,700000,50000,Diesel
Chevrolet Captiva LT,Chevrolet,2011,500000,99500,Diesel
Chevrolet Captiva LT,Chevrolet,2011,500000,99500,Diesel
Chevrolet Captiva LT,Chevrolet,2009,260000,80000,Diesel
Chevrolet Captiva LT,Chevrolet,2008,300000,100000,Diesel
Chevrolet Cruze LT,Chevrolet,2011,300000,40000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2012,495000,82000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2010,270000,120000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2010,250000,135000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2012,495000,82000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2010,270000,90000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2011,409999,80000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2011,270000,100000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2010,300000,60000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2011,360000,100000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2012,550000,74000,Diesel
Chevrolet Cruze LTZ AT,Chevrolet,2011,440000,90000,Diesel
Chevrolet Cruze LTZ AT,Chevrolet,2011,440000,90000,Diesel
Chevrolet Cruze LTZ AT,Chevrolet,2011,430000,80000,Diesel
Chevrolet Cruze LTZ AT,Chevrolet,2015,450000,155000,Diesel
Chevrolet Cruze LTZ AT,Chevrolet,2016,750000,67600,Diesel
Chevrolet Cruze LTZ AT,Chevrolet,2016,750000,67600,Diesel
Chevrolet Enjoy 1.3 TCDi LS 7,Chevrolet,2016,420000,110000,Diesel
Chevrolet Enjoy 1.3 TCDi LS 7,Chevrolet,2016,420000,70000,Diesel
Chevrolet Enjoy 1.3 TCDi LS 7,Chevrolet,2016,420000,110000,Diesel
Chevrolet Enjoy 1.3 TCDi LS 7,Chevrolet,2016,280000,110000,Diesel
Chevrolet Enjoy 1.3 TCDi LS 8,Chevrolet,2016,490000,80000,Diesel
Chevrolet Enjoy 1.3 TCDi LS 8,Chevrolet,2016,525000,80000,Diesel
Chevrolet Enjoy 1.3 TCDi LT 8,Chevrolet,2016,535000,32000,Diesel
Chevrolet Enjoy 1.3 TCDi LTZ 7,Chevrolet,2017,650000,40000,Diesel
Chevrolet Enjoy 1.3 TCDi LTZ 7,Chevrolet,2017,675000,50000,Diesel
Chevrolet Enjoy 1.3 TCDi LTZ 8,Chevrolet,2016,500000,198000,Diesel
Chevrolet Enjoy 1.4 LTZ 7,Chevrolet,2013,350000,37000,Petrol
Chevrolet Enjoy Petrol LS 7 Seater,Chevrolet,2014,312000,80000,Petrol
Chevrolet Enjoy TCDi LS 8 Seater,Chevrolet,2014,190000,139000,Diesel
Chevrolet Enjoy TCDi LS 8 Seater,Chevrolet,2014,350000,50000,Diesel
Chevrolet Enjoy TCDi LS 8 Seater,Chevrolet,2014,350000,120000,Diesel
Chevrolet Enjoy TCDi LS 8 Seater,Chevrolet,2015,370000,120000,Diesel
Chevrolet Enjoy TCDi LT 7 Seater,Chevrolet,2013,355000,136000,Diesel
Chevrolet Enjoy TCDi LT 7 Seater,Chevrolet,2013,380000,70000,Diesel
Chevrolet Enjoy TCDi LT 7 Seater,Chevrolet,2014,275000,195000,Diesel
Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,2013,300000,70000,Diesel
Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,2013,350000,100000,Diesel
Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,2014,450000,80000,Diesel
Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,2013,450000,60000,Diesel
Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,2013,300000,90000,Diesel
Chevrolet Optra 1.6 LT Royale,Chevrolet,2006,190000,94000,Petrol
Chevrolet Optra Magnum 1.6 LT Petrol,Chevrolet,2009,250000,80000,Petrol
Chevrolet Optra Magnum 1.6 LT Petrol,Chevrolet,2010,225000,60000,Petrol
Chevrolet Optra Magnum 2.0 LS,Chevrolet,2011,272000,170000,Diesel
Chevrolet Optra Magnum 2.0 LS,Chevrolet,2011,415000,78432,Diesel
Chevrolet Optra Magnum 2.0 LS,Chevrolet,2011,290000,82500,Diesel
Chevrolet Optra Magnum 2.0 LS,Chevrolet,2007,160000,130000,Diesel
Chevrolet Optra Magnum 2.0 LS BSIII,Chevrolet,2011,290000,88000,Diesel
Chevrolet Optra Magnum 2.0 LT,Chevrolet,2008,210000,90000,Diesel
Chevrolet Optra Magnum 2.0 LT,Chevrolet,2012,400000,64000,Diesel
Chevrolet Optra Magnum 2.0 LT,Chevrolet,2011,300000,119000,Diesel
Chevrolet Optra Magnum 2.0 LT BS3,Chevrolet,2008,225000,120000,Diesel
Chevrolet Sail 1.2 LS,Chevrolet,2015,220000,80000,Petrol
Chevrolet Sail 1.2 LS,Chevrolet,2015,200000,50000,Petrol
Chevrolet Sail 1.2 LS ABS,Chevrolet,2016,400000,30000,Petrol
Chevrolet Sail 1.2 LS ABS,Chevrolet,2015,371000,40000,Petrol
Chevrolet Sail 1.2 LS ABS,Chevrolet,2014,450000,13500,Petrol
Chevrolet Sail 1.2 LS ABS,Chevrolet,2014,300000,50000,Petrol
Chevrolet Sail 1.2 LS ABS,Chevrolet,2015,350000,50000,Petrol
Chevrolet Sail 1.2 LS ABS,Chevrolet,2014,310000,35000,Petrol
Chevrolet Sail 1.2 LS ABS,Chevrolet,2016,400000,30000,Petrol
Chevrolet Sail 1.2 LS ABS,Chevrolet,2016,550000,15000,Petrol
Chevrolet Sail 1.2 LS ABS,Chevrolet,2015,350000,50000,Petrol
Chevrolet Sail 1.2 LT ABS,Chevrolet,2014,330000,23000,Petrol
Chevrolet Sail 1.3 LS,Chevrolet,2016,250000,60000,Diesel
Chevrolet Sail 1.3 LS,Chevrolet,2013,246000,56000,Diesel
Chevrolet Sail 1.3 LS,Chevrolet,2013,246000,56000,Diesel
Chevrolet Sail Hatchback 1.2,Chevrolet,2014,300000,51000,Petrol
Chevrolet Sail Hatchback 1.2 LS,Chevrolet,2014,300000,60175,Petrol
Chevrolet Sail Hatchback Diesel,Chevrolet,2013,355000,68000,Diesel
Chevrolet Sail Hatchback Diesel,Chevrolet,2013,225000,100000,Diesel
Chevrolet Sail Hatchback Diesel Base,Chevrolet,2013,295000,50000,Diesel
Chevrolet Sail Hatchback LS ABS,Chevrolet,2013,300000,65000,Diesel
Chevrolet Sail Hatchback LS ABS,Chevrolet,2013,420000,46815,Diesel
Chevrolet Sail Hatchback LT ABS,Chevrolet,2013,200000,70000,Diesel
Chevrolet Sail Hatchback LT ABS,Chevrolet,2013,200000,80000,Diesel
Chevrolet Sail Hatchback LT ABS,Chevrolet,2013,200000,80000,Diesel
Chevrolet Sail Hatchback Petrol,Chevrolet,2013,229999,46000,Petrol
Chevrolet Sail Hatchback Petrol LS ABS,Chevrolet,2013,245000,25000,Petrol
Chevrolet Sail Hatchback Petrol LS ABS,Chevrolet,2013,120000,110000,Petrol
Chevrolet Sail LT ABS,Chevrolet,2015,480000,80000,Diesel
Chevrolet Sail LT ABS,Chevrolet,2014,260000,38000,Diesel
Chevrolet Spark 1.0,Chevrolet,2010,90000,70000,Petrol
Chevrolet Spark 1.0,Chevrolet,2008,45000,70000,Petrol
Chevrolet Spark 1.0,Chevrolet,2010,80000,80000,Petrol
Chevrolet Spark 1.0,Chevrolet,2009,145000,30000,Petrol
Chevrolet Spark 1.0 E,Chevrolet,2009,90000,50000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2011,169000,41000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2011,150000,80000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2009,80000,80000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2007,90000,93000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2010,140000,100000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2009,150000,80000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2011,150000,35000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2010,75000,120000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2008,65000,100000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2008,65000,100000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2011,150000,40000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2010,114999,60000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2010,140000,60000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2011,114999,100000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2009,95000,120000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2012,130000,110000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2012,125000,40000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2011,130000,110000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2011,130000,67840,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2010,130000,50000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2011,160000,49563,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2007,72000,40000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2016,160000,50000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2011,190000,20000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2012,130000,70000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2011,130000,68519,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2011,165000,70000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2011,150000,30000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2012,170000,80000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2007,90000,60000,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2012,80000,70000,Petrol
Chevrolet Spark 1.0 LT LPG,Chevrolet,2012,300000,70000,LPG
Chevrolet Spark 1.0 LT Option Pack w/ Airbag,Chevrolet,2009,60000,110000,Petrol
Chevrolet Spark 1.0 LT Option Pack w/ Airbag,Chevrolet,2009,200000,30000,Petrol
Chevrolet Spark 1.0 PS,Chevrolet,2010,125000,70000,Petrol
Chevrolet Spark 1.0 PS,Chevrolet,2011,95000,44000,Petrol
Chevrolet Spark 1.0 PS,Chevrolet,2008,75527,80000,Petrol
